N,P,K,temperature,humidity,ph,rainfall,soil_type,state,season,crop
68.46,8.79,42.8,24.0,86.27,6.17,1641.03,Sandy,Kerala,Kharif,Coconut
99.83,21.97,45.21,28.16,73.05,6.03,2737.94,Laterite,Kerala,Kharif,Coconut
199.16,11.88,64.82,21.74,79.87,5.52,1940.23,Red,Assam,Kharif,Tea
282.45,23.8,69.14,11.01,68.64,6.66,1188.61,Alluvial,Bihar,Kharif,Sugarcane
212.62,10.77,87.72,28.79,87.31,7.3,2173.53,Alluvial,Kerala,Kharif,Coconut
67.15,7.74,77.5,30.34,54.11,6.76,345.14,Sandy,Haryana,Rabi,Mustard
73.6,5.08,208.07,32.56,79.52,5.39,933.12,Laterite,Andhra Pradesh,Zaid,Banana
180.96,9.83,231.33,33.4,77.47,6.83,1309.38,Red,West Bengal,Kharif,Banana
62.9,11.05,140.25,34.72,70.08,5.95,946.14,Laterite,Andhra Pradesh,Zaid,Banana
106.96,32.81,210.2,39.06,64.92,7.62,1097.49,Alluvial,Tamil Nadu,Zaid,Banana
94.35,4.51,120.74,30.96,34.86,6.89,1038.01,Sandy,Gujarat,Kharif,Bajra
84.82,15.53,65.59,41.07,53.72,6.97,275.18,Red,Rajasthan,Zaid,Banana
176.48,31.76,131.23,32.08,36.23,7.12,466.37,Alluvial,Punjab,Kharif,Jowar
42.18,5.79,37.69,21.88,64.34,5.68,1481.56,Sandy,Tamil Nadu,Rabi,Groundnut
171.74,10.49,97.11,29.64,87.91,5.54,1545.28,Red,Odisha,Zaid,Banana
221.61,26.05,126.26,28.04,56.17,7.32,970.95,Black,Andhra Pradesh,Zaid,Banana
158.08,7.92,263.72,34.7,79.1,8.32,853.83,Black,Tamil Nadu,Rabi,Chilli
124.99,18.98,163.69,20.22,82.16,6.08,682.16,Red,Tamil Nadu,Zaid,Potato
37.23,5.58,51.78,33.44,58.97,7.39,2410.21,Sandy,West Bengal,Zaid,Potato
205.17,9.48,226.28,17.1,79.53,6.65,1243.66,Alluvial,Odisha,Zaid,Banana
193.43,43.61,207.19,19.01,61.87,7.39,540.83,Alluvial,Haryana,Kharif,Maize
93.55,24.34,127.86,39.23,73.31,7.83,1577.64,Black,Odisha,Kharif,Sugarcane
72.35,9.04,35.38,26.33,68.25,6.41,3257.53,Laterite,Karnataka,Kharif,Ragi
255.59,37.12,147.35,10.17,72.93,6.9,603.09,Clay,Haryana,Kharif,Sugarcane
315.02,25.28,94.17,27.52,60.29,7.45,1546.28,Clay,Bihar,Rabi,Lentil
86.92,9.39,73.42,22.37,53.83,7.46,1148.39,Alluvial,Telangana,Zaid,Banana
242.83,16.84,122.86,20.19,92.36,7.3,1693.12,Alluvial,Assam,Rabi,Potato
317.41,22.66,217.85,14.73,45.99,6.59,1412.3,Alluvial,Bihar,Zaid,Potato
73.84,4.77,27.9,14.09,29.74,6.14,183.83,Sandy,Rajasthan,Rabi,Mustard
226.06,12.63,284.57,21.08,53.27,7.01,1719.52,Black,Maharashtra,Rabi,Jowar
234.75,32.6,208.06,38.06,39.23,6.95,884.0,Clay,Punjab,Rabi,Wheat
175.73,14.26,90.59,20.33,63.93,7.0,2318.31,Black,Karnataka,Rabi,Wheat
72.3,3.84,103.01,27.49,31.15,9.0,714.04,Saline,Rajasthan,Kharif,Maize
241.21,32.68,253.07,10.73,40.23,7.56,1028.44,Clay,Uttar Pradesh,Kharif,Sugarcane
106.01,12.97,141.95,10.63,73.61,6.42,1545.69,Red,Madhya Pradesh,Rabi,Wheat
46.51,8.99,69.55,30.51,79.48,5.34,3360.62,Laterite,Kerala,Rabi,Potato
176.07,6.8,217.91,11.46,39.57,6.56,657.59,Clay,Punjab,Zaid,Potato
254.76,25.79,156.05,40.15,40.26,6.81,528.83,Alluvial,Gujarat,Rabi,Wheat
85.62,10.97,146.15,35.44,81.01,6.47,844.79,Laterite,Andhra Pradesh,Kharif,Sugarcane
53.71,4.76,127.34,30.8,78.55,6.84,1889.14,Red,Assam,Rabi,Chilli
211.47,6.4,110.48,21.45,59.88,6.45,1700.96,Red,Odisha,Zaid,Potato
248.44,23.34,99.02,29.95,76.61,7.61,695.92,Black,Tamil Nadu,Zaid,Banana
92.23,6.5,95.74,25.76,32.35,6.27,699.77,Sandy,Uttar Pradesh,Zaid,Potato
59.86,11.47,103.75,26.11,77.7,7.4,462.0,Sandy,Gujarat,Rabi,Groundnut
197.17,11.62,329.15,19.53,59.51,8.04,1088.78,Black,Madhya Pradesh,Kharif,Cotton
224.0,13.27,208.9,17.88,69.76,7.29,1677.21,Black,Odisha,Zaid,Potato
44.29,6.65,22.91,20.88,72.61,6.89,1039.21,Sandy,Bihar,Zaid,Potato
192.16,11.26,112.27,37.49,70.87,5.53,1445.16,Red,Tamil Nadu,Kharif,Banana
114.63,13.35,195.78,21.99,64.43,7.7,2955.83,Alluvial,Maharashtra,Kharif,Sugarcane
70.78,10.72,221.05,31.82,72.39,5.7,587.16,Laterite,Maharashtra,Rabi,Groundnut
150.71,18.89,89.32,31.38,33.43,6.44,825.6,Clay,Punjab,Rabi,Wheat
134.57,25.94,154.11,36.11,83.84,6.78,879.28,Alluvial,Andhra Pradesh,Zaid,Banana
68.64,19.84,43.08,28.51,89.34,5.43,2021.36,Laterite,West Bengal,Kharif,Tea
116.28,25.04,147.34,28.14,56.97,6.39,1092.91,Red,Andhra Pradesh,Rabi,Chilli
104.95,9.71,44.86,20.05,58.73,7.39,598.8,Sandy,Punjab,Zaid,Potato
62.75,8.41,167.38,37.49,60.57,6.21,1121.17,Red,Andhra Pradesh,Rabi,Tobacco
152.18,17.46,154.34,32.17,57.33,6.99,1192.18,Alluvial,Telangana,Kharif,Chilli
86.28,4.52,31.13,14.65,58.38,5.6,1351.57,Laterite,Madhya Pradesh,Rabi,Wheat
143.25,11.86,127.07,37.43,54.05,5.9,832.6,Laterite,Madhya Pradesh,Rabi,Maize
64.59,18.89,182.34,21.13,39.93,6.16,509.2,Clay,Haryana,Zaid,Potato
181.35,10.84,185.06,35.87,72.36,5.56,863.17,Red,Andhra Pradesh,Kharif,Tobacco
36.33,8.45,96.75,31.08,44.05,5.69,499.52,Sandy,Haryana,Kharif,Bajra
217.84,40.62,257.17,6.81,42.14,6.81,428.54,Alluvial,Punjab,Zaid,Potato
58.66,4.69,172.57,29.6,75.58,6.1,615.64,Red,Tamil Nadu,Zaid,Banana
